id|task_id|literature_id|relevance
1|1|1774344|relevant
2|1|2518044|relevant
3|1|3523526|relevant
4|1|4326951|relevant
5|1|4508382|relevant
6|1|4683762|relevant
7|1|4733238|relevant
8|1|4960704|relevant
9|1|5022615|relevant
10|1|5281720|relevant
11|1|5379654|relevant
12|1|5524540|relevant
13|1|6052669|relevant
14|1|6894445|relevant
15|1|10822081|relevant
16|1|13276205|relevant
17|1|13669092|relevant
18|1|39227235|relevant
19|1|39248639|relevant
20|1|39265006|relevant
21|1|39280510|relevant
22|1|39320717|relevant
23|1|47773808|relevant
24|1|50910282|relevant
25|1|56921910|relevant
26|1|58576892|relevant
27|1|61406254|relevant
28|1|61463258|relevant
29|1|56907|partially relevant
30|1|917144|partially relevant
31|1|917146|partially relevant
32|1|1242474|partially relevant
33|1|2379571|partially relevant
34|1|4237045|partially relevant
35|1|4316692|partially relevant
36|1|4321419|partially relevant
37|1|4455807|partially relevant
38|1|4468642|partially relevant
39|1|4580346|partially relevant
40|1|4830492|partially relevant
41|1|5239856|partially relevant
42|1|5301079|partially relevant
43|1|5438883|partially relevant
44|1|5582349|partially relevant
45|1|6030627|partially relevant
46|1|6037923|partially relevant
47|1|6044142|partially relevant
48|1|6048630|partially relevant
49|1|6208392|partially relevant
50|1|6384212|partially relevant
51|1|6627803|partially relevant
52|1|12304773|partially relevant
53|1|13270408|partially relevant
54|1|13276569|partially relevant
55|1|13278008|partially relevant
56|1|13296602|partially relevant
57|1|39294023|partially relevant
58|1|48480116|partially relevant
59|1|50739063|partially relevant
60|1|50827555|partially relevant
61|1|50950033|partially relevant
62|1|50951819|partially relevant
63|1|56905515|partially relevant
64|1|56995053|partially relevant
65|1|58572094|partially relevant
66|1|70684|irrelevant
67|1|86685|irrelevant
68|1|217573|irrelevant
69|1|1819288|irrelevant
70|1|2184922|irrelevant
71|1|2474507|irrelevant
72|1|3427377|irrelevant
73|1|4242840|irrelevant
74|1|4252599|irrelevant
75|1|4296369|irrelevant
76|1|4296442|irrelevant
77|1|4317010|irrelevant
78|1|4703395|irrelevant
79|1|6223325|irrelevant
80|1|13253780|irrelevant
81|1|39264440|irrelevant
82|1|43550001|irrelevant
83|1|50767815|irrelevant
84|1|50944217|irrelevant
85|1|57221490|irrelevant
86|1|57544008|irrelevant
87|1|58068660|irrelevant
88|2|304435|relevant
89|2|458951|relevant
90|2|548419|relevant
